GOLEN,ROADSECT_ID,PERIOD,GOCOUNT,TIME,GOTIME
1649.4407,675405,112,21,2018-04-06 00:00:00,139.0729
2419.9654,676101,112,27,2018-04-06 00:00:00,311.9251
2857.9783,676102,112,27,2018-04-06 00:00:00,427.6009
1439.0692,676103,112,15,2018-04-06 00:00:00,171.0615
1518.5866,676104,112,34,2018-04-06 00:00:00,165.3403
2968.9845,676105,112,30,2018-04-06 00:00:00,373.7521
1450.7749,676106,112,11,2018-04-06 00:00:00,175.7613
1873.9144,676107,112,19,2018-04-06 00:00:00,174.0739
4191.7728,676201,112,32,2018-04-06 00:00:00,529.6315
1290.1115,676202,112,10,2018-04-06 00:00:00,148.9215
2423.3008,676203,112,35,2018-04-06 00:00:00,241.0657
1546.8584,676204,112,23,2018-04-06 00:00:00,183.2355
2692.9744,676205,112,30,2018-04-06 00:00:00,316.1139
2407.2751,676206,112,22,2018-04-06 00:00:00,367.9098
4660.7331,676207,112,43,2018-04-06 00:00:00,802.7452
5005.3931,677101,112,106,2018-04-06 00:00:00,615.2647
3745.2605,677102,112,23,2018-04-06 00:00:00,390.8164
7274.7538,677103,112,38,2018-04-06 00:00:00,481.0784
13451.3469,677201,112,82,2018-04-06 00:00:00,1195.878
5817.5739,677202,112,61,2018-04-06 00:00:00,485.2364
4745.9056,677203,112,57,2018-04-06 00:00:00,483.4703
19279.3693,678301,112,103,2018-04-06 00:00:00,1227.9704
11198.461,678302,112,85,2018-04-06 00:00:00,831.2269
1436.7637,678303,112,18,2018-04-06 00:00:00,121.5281
1838.9172,678305,112,18,2018-04-06 00:00:00,219.2001
4632.8322,678306,112,38,2018-04-06 00:00:00,573.459
1949.9672,678307,112,17,2018-04-06 00:00:00,182.4774
1072.9676,678308,112,11,2018-04-06 00:00:00,241.1369
942.983,678401,112,7,2018-04-06 00:00:00,67.6428
3739.3927,678402,112,24,2018-04-06 00:00:00,360.3705
3780.3216,678403,112,27,2018-04-06 00:00:00,267.4337
1948.2118,678404,112,14,2018-04-06 00:00:00,136.2294
1118.2835,678405,112,6,2018-04-06 00:00:00,71.6276
1196.536,678406,112,16,2018-04-06 00:00:00,117.2813
4692.8964,678407,112,27,2018-04-06 00:00:00,421.4569
9606.837,678408,112,55,2018-04-06 00:00:00,638.0757
2662.0801,679301,112,21,2018-04-06 00:00:00,297.8558
